Match index	Player Name	Ping	Kills	Assists	Deaths	MVP	HSP	Score	Map	Duration	Wait time	Date	Match Score
0	vbraia	15	24	4	9	5	41	53	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	IMMA	12	18	4	7	5	27	45	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	ELVIS	51	18	2	7	3	38	41	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	Mr.R4L	28	17	4	11	2	29	41	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	Andre de Carli	5	10	6	9	0	30	30	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	TK	6	12	1	17	2	33	34	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	ptrsn	12	11	3	19	0	36	27	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	BURGATO	5	8	1	19	0	50	22	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
6	LeqDOIDO	26	8	0	19	0	12	20	Competitive Mirage	Match Duration: 40:19	Wait Time: 00:19	2021-05-10 00:00:30 GMT	16:12
3	tortugoxx	0	4	2	13	0	25	10	Competitive Mirage	Match Duration: 39:37	Wait Time: 01:01	2021-05-11 16:15:42 GMT	10:16
0	?	23	29	2	12	3	34	62	Competitive Overpass	Match Duration: 33:20	Wait Time: 01:34	2021-05-13 02:20:43 GMT	16:04
7	Fuck-A	43	18	8	11	3	44	54	Competitive Cache	Match Duration: 28:19	Wait Time: 00:13	2021-05-09 23:20:30 GMT	16:04
4	PAKO	21	22	5	17	3	22	51	Competitive Cache	Match Duration: 46:14	Wait Time: 01:02	2021-05-10 23:07:10 GMT	13:16
1	tortugoxx	26	22	5	13	4	22	49	Competitive Inferno	Match Duration: 40:25	Wait Time: 00:38	2021-05-12 00:09:23 GMT	16:08
8	Rusio Brejcha	15	13	0	14	3	53	30	Competitive Inferno	Match Duration: 27:00	Wait Time: 00:22	2021-05-09 22:50:06 GMT	16:01
5	Arrant	5	18	2	18	3	61	44	Competitive Inferno	Match Duration: 46:33	Wait Time: 00:40	2021-05-10 22:13:42 GMT	15:15
2	Luminis 60Hz TV	5	15	9	20	0	53	42	Competitive Dust II	Match Duration: 28:58	Wait Time: 02:15	2021-05-11 17:02:30 GMT	6:16
9	DEMONTETOâ€¢	8	13	5	21	2	23	40	Competitive Mirage	Match Duration: 43:03	Wait Time: 00:15	2021-05-09 14:23:10 GMT	9:16
