animal	gender	value	img
Rat	male	0.76	https://nmarcovecchio.github.io/infovis/w20/rata.png
House cat	male	0.74	https://nmarcovecchio.github.io/infovis/w20/rata.png
Medium sized dog	male	0.6	https://nmarcovecchio.github.io/infovis/w20/rata.png
Large dog	male	0.31	https://nmarcovecchio.github.io/infovis/w20/rata.png
Kangaroo	male	0.17	https://nmarcovecchio.github.io/infovis/w20/rata.png
Eagle	male	0.38	https://nmarcovecchio.github.io/infovis/w20/rata.png
Grizzly Bear	male	0.07	https://nmarcovecchio.github.io/infovis/w20/rata.png
Wolf	male	0.16	https://nmarcovecchio.github.io/infovis/w20/rata.png
Lion	male	0.07	https://nmarcovecchio.github.io/infovis/w20/rata.png
Gorilla	male	0.09	https://nmarcovecchio.github.io/infovis/w20/rata.png
Chimpanzee	male	0.22	https://nmarcovecchio.github.io/infovis/w20/rata.png
King Cobra	male	0.23	https://nmarcovecchio.github.io/infovis/w20/rata.png
Elephant	male	0.09	https://nmarcovecchio.github.io/infovis/w20/rata.png
Crocodile	male	0.1	https://nmarcovecchio.github.io/infovis/w20/rata.png
Goose	male	0.71	https://nmarcovecchio.github.io/infovis/w20/rata.png
Rat	female	0.68	https://nmarcovecchio.github.io/infovis/w20/rata.png
House cat	female	0.64	https://nmarcovecchio.github.io/infovis/w20/rata.png
Medium sized dog	female	0.39	https://nmarcovecchio.github.io/infovis/w20/rata.png
Large dog	female	0.15	https://nmarcovecchio.github.io/infovis/w20/rata.png
Kangaroo	female	0.11	https://nmarcovecchio.github.io/infovis/w20/rata.png
Eagle	female	0.23	https://nmarcovecchio.github.io/infovis/w20/rata.png
Grizzly Bear	female	0.06	https://nmarcovecchio.github.io/infovis/w20/rata.png
Wolf	female	0.09	https://nmarcovecchio.github.io/infovis/w20/rata.png
Lion	female	0.08	https://nmarcovecchio.github.io/infovis/w20/rata.png
Gorilla	female	0.08	https://nmarcovecchio.github.io/infovis/w20/rata.png
Chimpanzee	female	0.12	https://nmarcovecchio.github.io/infovis/w20/rata.png
King Cobra	female	0.08	https://nmarcovecchio.github.io/infovis/w20/rata.png
Elephant	female	0.08	https://nmarcovecchio.github.io/infovis/w20/rata.png
Crocodile	female	0.08	https://nmarcovecchio.github.io/infovis/w20/rata.png
Goose	female	0.51	https://nmarcovecchio.github.io/infovis/w20/rata.png
